Time Stamp,Name,LBMP ($/MWHr)
2023-08-15 00:00,N.Y.C.,29.43
2023-08-15 01:00,N.Y.C.,27.81
2023-08-15 02:00,N.Y.C.,26.94
2023-08-15 03:00,N.Y.C.,26.12
2023-08-15 04:00,N.Y.C.,27.35
2023-08-15 05:00,N.Y.C.,31.22
2023-08-15 06:00,N.Y.C.,38.74
2023-08-15 07:00,N.Y.C.,52.16
2023-08-15 08:00,N.Y.C.,67.43
2023-08-15 09:00,N.Y.C.,78.92
2023-08-15 10:00,N.Y.C.,84.31
2023-08-15 11:00,N.Y.C.,89.67
2023-08-15 12:00,N.Y.C.,95.42
2023-08-15 13:00,N.Y.C.,98.17
2023-08-15 14:00,N.Y.C.,96.83
2023-08-15 15:00,N.Y.C.,91.24
2023-08-15 16:00,N.Y.C.,85.61
2023-08-15 17:00,N.Y.C.,79.38
2023-08-15 18:00,N.Y.C.,72.15
2023-08-15 19:00,N.Y.C.,61.47
2023-08-15 20:00,N.Y.C.,52.83
2023-08-15 21:00,N.Y.C.,44.19
2023-08-15 22:00,N.Y.C.,37.56
2023-08-15 23:00,N.Y.C.,31.84
